year,host,nations,competitors,sports,notes
1960,"Rome, Italy",23,400,8,
1964,"Tokyo, Japan",21,375,9,
1968,"Tel Aviv, Israel",29,750,10,
1972,"Heidelberg, Germany",41,1004,10,
1976,"Toronto, Canada",32,1657,13,
1980,"Arnhem, Netherlands",42,1973,12,
1984,"New York City, United States",45,1800,15,
1984,"Stoke Mandeville, United Kingdom",41,1100,10,
1988,"Seoul, South Korea",61,3057,16,
1992,"Barcelona, Spain ",82,3020,20,
1992,"Madrid, Spain",75,1600,20,Paralympic Games for Persons with mental handicap
1996,"Atlanta, United States",104,3259,20,
2000,"Sydney, Australia",121,3881,18,
2004,"Athens, Greece",136,3806,19,
2008,"Beijing, China",146,3951,20,
2012,"London, United Kingdom",164,4302,20,
2016,"Rio de Janeiro, Brazil",159,4342,22,
