sport,logo,source
Archery,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Archery_pictogram_%28Paralympics%29.svg/1920px-Archery_pictogram_%28Paralympics%29.svg.png,
Athletics,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Athletics_pictogram_%28Paralympics%29.svg/1920px-Athletics_pictogram_%28Paralympics%29.svg.png,
Dartchery,,
Snooker,,
Swimming,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Swimming_pictogram_%28Paralympics%29.svg/1920px-Swimming_pictogram_%28Paralympics%29.svg.png,
Table tennis,https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Table_tennis_pictogram_%28Paralympics%29.svg/1920px-Table_tennis_pictogram_%28Paralympics%29.svg.png,
Wheelchair basketball,https://upload.wikimedia.org/wikipedia/commons/thumb/3/32/Wheelchair_basketball_pictogram_%28Paralympics%29.svg/1920px-Wheelchair_basketball_pictogram_%28Paralympics%29.svg.png,
Wheelchair fencing,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Wheelchair_fencing_pictogram_%28Paralympics%29.svg/1920px-Wheelchair_fencing_pictogram_%28Paralympics%29.svg.png,
Weightlifting,,
Lawn bowls,,
Goalball,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Goalball_pictogram_%28Paralympics%29.svg/1920px-Goalball_pictogram_%28Paralympics%29.svg.png,
Shooting,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Shooting_pictogram_%28Paralympics%29.svg/1920px-Shooting_pictogram_%28Paralympics%29.svg.png,
Volleyball,https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Sitting_volleyball_pictogram_%28Paralympics%29.svg/1920px-Sitting_volleyball_pictogram_%28Paralympics%29.svg.png,
Wrestling,,
Boccia,https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Boccia_pictogram_%28Paralympics%29.svg/1920px-Boccia_pictogram_%28Paralympics%29.svg.png,
Cycling,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Cycling_%28road%29_pictogram_%28Paralympics%29.svg/1920px-Cycling_%28road%29_pictogram_%28Paralympics%29.svg.png,
Equestrian,https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Equestrian_pictogram.svg/1920px-Equestrian_pictogram.svg.png,
Football 7-a-side,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Football_7-a-side_pictogram_%28Paralympics%29.svg/1920px-Football_7-a-side_pictogram_%28Paralympics%29.svg.png,
Powerlifting,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Powerlifting_pictogram_%28Paralympics%29.svg/1920px-Powerlifting_pictogram_%28Paralympics%29.svg.png,
Judo,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Judo_pictogram_%28Paralympics%29.svg/1920px-Judo_pictogram_%28Paralympics%29.svg.png,
Wheelchair tennis,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Wheelchair_tennis_pictogram_%28Paralympics%29.svg/1920px-Wheelchair_tennis_pictogram_%28Paralympics%29.svg.png,
Basketball ID,,
Indoor Football,,
Racquetball,,
Sailing,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Sailing_pictogram.svg/1920px-Sailing_pictogram.svg.png,
Wheelchair rugby,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Wheelchair_rugby_pictogram_%28Paralympics%29.svg/1920px-Wheelchair_rugby_pictogram_%28Paralympics%29.svg.png,
Football 5-a-side,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Football_5-a-side_pictogram_%28Paralympics%29.svg/1920px-Football_5-a-side_pictogram_%28Paralympics%29.svg.png,
Rowing,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Rowing_pictogram_%28Paralympics%29.svg/1920px-Rowing_pictogram_%28Paralympics%29.svg.png,
Road cycling,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Cycling_%28road%29_pictogram_%28Paralympics%29.svg/1920px-Cycling_%28road%29_pictogram_%28Paralympics%29.svg.png,
Track cycling,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Cycling_%28track%29_pictogram_%28Paralympics%29.svg/1920px-Cycling_%28track%29_pictogram_%28Paralympics%29.svg.png,
Paracanoe,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Paracanoe_pictogram_%28Paralympics%29.svg/1920px-Paracanoe_pictogram_%28Paralympics%29.svg.png,
Paratriathlon,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Triathlon_pictogram.svg/1920px-Triathlon_pictogram.svg.png,
